- SYMBOLS
-0.1 = top left corner
-0.3 = bottom left corner
-2.1 = top right corner
-2.3 = bottom right corner
-1 = floor
-3.3 = horizontal wall
-3.2 = vertical wall
-0.2 = left mid wall
-1.1 = top mid wall
-1.3 = bottom mid wall
-2.2 = right mid wall
-0.7 = green key
-1.7 = green door
-0.8 = yellow key
-1.8 = yellow door
-4.1 = hole in floor
-5.1 = saw blade
-0.9 = moving block
-1.9 = moving block zone goal
-4 = moving block door
-3 = lore
----------------------------------
0.1|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|1.7|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|2.1
3.2|1|1|1|1|1|1|1|3.1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3.1|1|1|1|1|1|1|1|1|1|1|1|1|1|3.2
3.2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3.1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3.2
3.2|1|1|0.1|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|2.1|1|1|3.2|1|1|0.1|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|3.3|2.1|1|1|3.2|1|1|0.1|3.3|3.3|3.3|3.3|1|1|3.3|3.3|3.3|3.3|2.1|1|1|3.2
3.2|1|1|3.2|3.1|4.1|1|4.1|1|4.1|1|4.1|1|1|3.2|1|1|3.2|1|1|3.2|1|1|1|1|1|1|1|1|1|3.1|3.2|1|1|3.2|1|1|3.2|1|1|1|1|1|1|1|1|1|3.1|3.2|1|1|3.2
3.2|1|1|3.2|1|4.1|1|4.1|1|4.1|1|4.1|1|3.1|3.2|1|1|3.2|1|1|3.2|1|1|3.1|1|3.1|1|3.1|1|1|1|3.2|1|1|3.2|3.1|1|3.2|1|0.9|1|1|1|1|1|1|1|1|3.2|1|1|3.2
3.2|1|1|3.2|1|4.1|1|4.1|1|4.1|1|4.1|1|1|3.2|1|3.1|3.2|1|1|3.2|1|3.1|1|1|3.1|1|1|3.1|1|1|3.2|1|1|1|1|1|3.2|1|1|1|1|1|3.1|1|1|1|1|3.2|1|1|3.2
3.2|1|1|1.8|1|4.1|1|4.1|1|4.1|1|4.1|3.1|1|3.2|1|1|3.2|1|1|3.2|1|1|1|3.1|1|3.1|3.1|1|1|1|3.2|1|1|1|1|1|3.2|1|1|1|1|3.1|1|1|1|1|1|3.2|1|3.1|3.2
3.2|3.1|1|3.2|1|4.1|1|4.1|1|4.1|1|4.1|1|1|3.2|1|1|3.2|1|1|1.8|1|3.1|1|1|1|1|1|1|3.1|3.1|3.2|1|1|1|1|1|3.2|1|1|1|1|1|1|1|1|3.1|1|3.2|1|1|3.2
3.2|1|1|3.2|1|4.1|1|4.1|1|4.1|1|4.1|1|1|3.2|1|1|3.2|1|1|3.2|1|1|3.1|1|3.1|3.1|1|3.1|3.1|1|3.2|1|1|3.2|1|1|3.2|1|1|3.1|1|1|1|1|3.1|1|1|3.2|1|1|3.2
